,price,surface,bedrooms,restrooms,location_name,tiene_ascensor,tiene_parking,tiene_piscina,tiene_terraza,es_costa,es_montana
98,650,115,4,2,A Coruña,1,0,0,0,1,0
99,800,80,2,1,A Coruña,1,0,0,0,1,0
100,550,70,3,1,A Coruña,1,0,0,0,1,0
101,650,50,1,1,A Coruña,1,0,0,0,1,0
102,850,65,2,2,A Coruña,1,0,0,0,1,0
103,600,80,3,1,A Coruña,1,0,0,0,1,0
104,525,55,1,1,A Coruña,1,0,0,1,1,0
105,520,70,3,1,A Coruña,1,0,0,0,1,0
106,700,65,2,2,A Coruña,0,0,0,0,1,0
107,480,75,2,1,A Coruña,1,0,0,0,1,0
108,450,84,3,1,A Coruña,0,0,0,0,1,0
109,720,65,2,2,A Coruña,1,0,0,1,1,0
110,650,70,2,1,A Coruña,1,0,0,0,1,0
111,1100,94,3,2,A Coruña,1,0,0,0,1,0
112,500,84,3,1,A Coruña,0,0,0,0,1,0
113,950,97,2,2,A Coruña,1,0,0,0,1,0
114,580,50,1,1,A Coruña,1,0,0,0,1,0
115,500,75,3,1,A Coruña,0,0,0,0,1,0
116,550,90,3,2,A Coruña,1,0,0,0,1,0
117,350,82,3,1,A Coruña,0,0,0,0,1,0
118,650,122,3,2,A Coruña,1,0,0,0,1,0
119,650,100,3,2,A Coruña,1,0,0,0,1,0
120,550,73,3,1,A Coruña,1,0,0,0,1,0
121,700,72,2,1,A Coruña,0,0,0,0,1,0
122,550,75,2,1,A Coruña,0,0,0,0,1,0
123,500,83,3,1,A Coruña,0,0,0,1,1,0
124,580,69,2,1,A Coruña,1,0,0,1,1,0
125,550,63,2,1,A Coruña,0,0,0,0,1,0
126,400,76,2,1,A Coruña,0,0,0,0,1,0
127,680,70,2,2,A Coruña,1,0,0,0,1,0
128,575,80,2,1,A Coruña,1,0,0,0,1,0
129,750,101,4,3,A Coruña,0,0,0,1,1,0
130,720,105,4,2,A Coruña,1,0,0,0,1,0
131,650,79,2,1,A Coruña,1,0,0,0,1,0
132,580,90,4,1,A Coruña,1,0,0,0,1,0
133,950,120,2,2,A Coruña,1,0,0,0,1,0
134,600,82,3,2,A Coruña,1,0,0,0,1,0
135,460,65,2,1,A Coruña,1,0,0,0,1,0
136,350,62,2,1,A Coruña,0,0,0,0,1,0
137,600,90,3,1,A Coruña,1,0,0,0,1,0
138,525,55,1,1,A Coruña,1,0,0,1,1,0
139,850,70,2,2,A Coruña,1,0,0,0,1,0
140,700,73,3,1,A Coruña,1,0,0,0,1,0
141,950,100,2,2,A Coruña,0,0,0,0,1,0
142,1250,140,3,3,A Coruña,1,0,0,0,1,0
143,550,70,2,2,A Coruña,0,0,0,0,1,0
144,600,53,1,1,A Coruña,0,0,0,0,1,0
145,750,95,3,2,A Coruña,1,0,0,0,1,0
146,600,80,3,1,A Coruña,1,0,0,0,1,0
147,525,55,1,1,A Coruña,1,0,0,1,1,0
148,600,88,3,2,A Coruña,0,0,0,0,1,0
149,520,67,1,1,A Coruña,1,0,0,0,1,0
150,800,66,3,1,A Coruña,0,0,0,0,1,0
151,800,85,3,1,A Coruña,0,0,0,0,1,0
152,350,52,1,1,A Coruña,0,0,0,0,1,0
153,570,50,2,1,A Coruña,1,0,0,0,1,0
154,2050,156,4,4,A Coruña,1,0,0,0,1,0
155,1240,100,3,2,A Coruña,1,0,0,0,1,0
156,500,90,3,1,A Coruña,1,0,0,0,1,0
157,690,140,4,2,A Coruña,1,1,0,0,1,0
158,700,100,4,2,A Coruña,1,0,0,0,1,0
159,600,60,2,1,A Coruña,0,0,0,0,1,0
160,550,53,2,1,A Coruña,1,0,0,0,1,0
161,550,50,1,1,A Coruña,1,0,0,0,1,0
162,770,110,3,2,A Coruña,1,0,0,0,1,0
163,500,67,1,1,A Coruña,0,0,0,0,1,0
164,700,110,3,2,A Coruña,1,0,0,0,1,0
165,390,76,2,1,A Coruña,0,0,0,0,1,0
166,790,110,3,2,A Coruña,0,0,0,0,1,0
167,600,80,3,1,A Coruña,1,0,0,0,1,0
168,800,125,4,2,A Coruña,0,0,0,1,1,0
169,500,87,3,1,A Coruña,1,0,0,0,1,0
170,700,85,4,2,A Coruña,1,0,0,0,1,0
171,590,65,2,1,A Coruña,1,0,0,0,1,0
172,400,74,2,1,A Coruña,0,0,0,0,1,0
173,550,70,2,1,A Coruña,1,0,0,0,1,0
174,750,117,3,2,A Coruña,1,0,0,0,1,0
175,1450,120,3,2,A Coruña,1,0,0,0,1,0
176,450,86,3,1,A Coruña,1,0,0,0,1,0
177,750,137,5,2,A Coruña,1,0,0,1,1,0
178,850,90,3,2,A Coruña,1,0,0,0,1,0
179,660,120,3,2,A Coruña,1,0,0,0,1,0
180,600,59,1,1,A Coruña,0,0,0,0,1,0
181,575,83,2,1,A Coruña,1,0,0,0,1,0
182,600,100,3,3,A Coruña,1,0,0,0,1,0
183,800,70,2,2,A Coruña,1,0,0,0,1,0
184,625,57,1,1,A Coruña,1,0,0,0,1,0
185,750,65,2,2,A Coruña,0,0,0,0,1,0
186,550,90,4,2,A Coruña,1,0,0,0,1,0
187,600,76,2,1,A Coruña,1,0,0,0,1,0
188,700,75,2,2,A Coruña,1,0,0,1,1,0
189,650,95,3,2,A Coruña,1,0,0,0,1,0
190,420,67,1,1,A Coruña,1,0,0,0,1,0
191,800,98,4,2,A Coruña,1,0,0,0,1,0
192,530,86,3,1,A Coruña,1,0,0,0,1,0
193,650,76,3,2,A Coruña,1,0,0,0,1,0
194,700,90,2,2,A Coruña,1,0,0,0,1,0
195,750,100,3,2,A Coruña,0,0,0,0,1,0
196,1250,97,3,2,A Coruña,1,0,0,0,1,0
197,450,50,1,1,A Coruña,0,0,0,0,1,0
198,1050,100,2,2,A Coruña,1,0,0,0,1,0
199,750,70,1,1,A Coruña,1,0,0,0,1,0
200,1250,91,3,2,A Coruña,1,0,0,0,1,0
201,500,67,1,1,A Coruña,0,0,0,0,1,0
202,1250,100,2,2,A Coruña,1,0,0,0,1,0
203,550,75,3,1,A Coruña,0,0,0,0,1,0
204,600,50,1,1,A Coruña,1,0,0,0,1,0
205,430,74,2,1,A Coruña,0,0,0,0,1,0
206,575,70,3,1,A Coruña,1,0,0,0,1,0
207,575,92,4,2,A Coruña,1,0,0,0,1,0
208,400,76,2,1,A Coruña,0,0,0,0,1,0
209,800,90,3,2,A Coruña,1,0,0,0,1,0
210,520,65,2,1,A Coruña,0,0,0,0,1,0
211,500,80,3,2,A Coruña,1,0,0,0,1,0
212,480,77,2,1,A Coruña,0,0,0,0,1,0
213,550,40,1,1,A Coruña,1,0,0,0,1,0
214,450,65,1,1,A Coruña,0,0,0,1,1,0
215,600,107,2,2,A Coruña,1,0,0,0,1,0
216,390,80,3,1,A Coruña,1,0,0,0,1,0
217,950,90,2,2,A Coruña,0,0,0,0,1,0
218,675,110,4,2,A Coruña,1,0,0,0,1,0
219,525,55,1,1,A Coruña,1,0,0,0,1,0
220,950,80,2,2,A Coruña,1,0,0,0,1,0
221,700,60,1,1,A Coruña,0,0,0,0,1,0
222,450,76,2,1,A Coruña,1,0,0,0,1,0
223,600,53,1,1,A Coruña,0,0,0,0,1,0
224,410,84,3,1,A Coruña,1,0,0,0,1,0
225,395,45,1,1,A Coruña,0,0,0,0,1,0
226,425,84,3,1,A Coruña,0,0,0,0,1,0
227,575,75,2,1,A Coruña,1,0,0,0,1,0
228,600,72,3,1,A Coruña,1,0,0,0,1,0
229,650,109,4,2,A Coruña,1,0,0,0,1,0
230,600,85,4,1,A Coruña,1,0,0,0,1,0
231,1500,110,3,2,A Coruña,0,1,0,1,1,0
232,450,54,1,1,A Coruña,1,1,0,0,1,0
233,900,135,3,2,A Coruña,1,0,0,0,1,0
234,900,135,3,2,A Coruña,1,0,0,0,1,0
235,600,92,4,2,A Coruña,1,0,0,0,1,0
236,750,80,2,1,A Coruña,0,1,0,0,1,0
