id;title;status;release_date;revenue;runtime;adult;budget;imdb_id;original_language;original_title;genre;averageRating;year;nominees;awards;ROI
10567;Dinosaur;Released;19/05/2000;354248063;82;FALSO;127500000;tt0130623;en;Dinosaur;Family;64;2000.0;0.0;0.0;2.7784161803921568
18533;Bronson;Released;09/10/2008;2260712;92;FALSO;230000;tt1172570;en;Bronson;Drama;70;2008.0;0.0;0.0;9.829182608695652
9352;EuroTrip;Released;20/02/2004;20796847;93;FALSO;25000000;tt0356150;en;EuroTrip;Comedy;66;2004.0;0.0;0.0;0.83187388
14560;Paul Blart: Mall Cop;Released;15/01/2009;183293131;91;FALSO;26000000;tt1114740;en;Paul Blart: Mall Cop;Action;53;2009.0;0.0;0.0;7.049735807692308
1832;Dogma;Released;12/11/1999;31429330;130;FALSO;10000000;tt0120655;en;Dogma;Fantasy;73;1999.0;0.0;0.0;3.142933
339877;Loving Vincent;Released;22/06/2017;42187665;95;FALSO;5500000;tt3262342;en;Loving Vincent;Animation;78;2017.0;1.0;0.0;7.670484545454546
10204;Around the World in 80 Days;Released;16/06/2004;72178895;120;FALSO;110000000;tt0327437;en;Around the World in 80 Days;Action;59;2004.0;0.0;0.0;0.6561717727272727
335796;Ouija: Origin of Evil;Released;20/10/2016;81705746;99;FALSO;9000000;tt4361050;en;Ouija: Origin of Evil;Horror;62;2016.0;0.0;0.0;9.078416222222222
24420;The Time Traveler's Wife;Released;14/08/2009;101344412;108;FALSO;39000000;tt0452694;en;The Time Traveler's Wife;Drama;71;2009.0;0.0;0.0;2.5985746666666665
361292;Suspiria;Released;11/10/2018;6348889;152;FALSO;20000000;tt1034415;en;Suspiria;Drama;67;2018.0;0.0;0.0;0.31744445
292011;Richard Jewell;Released;13/12/2019;33904605;131;FALSO;45000000;tt3513548;en;Richard Jewell;Drama;75;2019.0;1.0;0.0;0.7534356666666666
8265;Welcome to the Sticks;Released;20/02/2008;245144417;106;FALSO;11000000;tt1064932;fr;Bienvenue chez les Ch'tis;Comedy;71;2008.0;0.0;0.0;22.285856090909093
4512;The Assassination of Jesse James by the Coward Robert Ford;Released;20/09/2007;14711793;160;FALSO;30000000;tt0443680;en;The Assassination of Jesse James by the Coward Robert Ford;Action;75;2007.0;2.0;0.0;0.4903931
38167;Eat Pray Love;Released;12/08/2010;204594016;133;FALSO;60000000;tt0879870;en;Eat Pray Love;Drama;59;2010.0;0.0;0.0;3.4099002666666665
