modelo,parametros,accuracy_modelo,accuracy_casas,accuracy_ranking,correlacion_casas,AUC_modelo,AUC casas
Random Forest,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__n_estimators': 100}",0.64,0.685,0.6272,,0.7041,0.757
XGBoost2,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.1, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.6494,0.685,0.6272,,0.7108,0.757
