match_id,date,odd_1,odd_2,surface,round,tournament_type,rank_diff,wins2meses_p1,wins2meses_p2,ratio_superficie_p1,ratio_superficie_p2,h2h,ratio_ronda_p1,ratio_ronda_p2,experiencia_p1,experiencia_p2,target,is_new_p1,is_new_p2
2411,2008-01-05,0.1458607095926412,0.8541392904073586,Hard,The Final,WTA250_o_menor,18.0,1.0,1.0,0.3333333333333333,0.9444444444444444,0.5,0.4,1.0,32,18,0,0,0
2420,2008-01-01,0.6626506024096386,0.3373493975903614,Hard,1st Round,WTA250_o_menor,48.0,0.0,0.0,0.16666666666666666,0.18181818181818182,0.5,0.23076923076923078,0.45,19,36,1,0,0
2421,2008-01-01,0.625,0.375,Hard,1st Round,WTA250_o_menor,-10.0,0.0,0.0,0.6304347826086957,0.6818181818181818,1.0,0.76,0.875,67,36,0,0,0
2422,2008-01-01,0.2903930131004367,0.7096069868995633,Hard,1st Round,WTA250_o_menor,23.0,0.0,0.0,0.45454545454545453,0.7297297297297297,0.0,0.6470588235294118,0.7619047619047619,34,50,1,0,0
2423,2008-01-01,0.2337164750957854,0.7662835249042146,Hard,1st Round,WTA250_o_menor,83.0,0.0,0.0,0.0,0.5555555555555556,0.5,0.3333333333333333,0.48,8,54,0,1,0
2424,2008-01-01,0.5135135135135135,0.4864864864864864,Hard,1st Round,WTA250_o_menor,23.0,0.0,0.0,0.0,0.36,0.5,0.3,0.5,14,33,1,0,0
2425,2008-01-01,0.1336633663366336,0.8663366336633663,Hard,1st Round,WTA250_o_menor,74.0,0.0,0.0,0.35714285714285715,0.7272727272727273,0.5,0.5,1.0,18,47,0,0,0
2426,2008-01-01,0.25,0.75,Hard,1st Round,WTA250_o_menor,104.0,0.0,0.0,0.25,0.5,0.5,0.3333333333333333,0.5454545454545454,4,40,1,1,0
2427,2008-01-01,0.25,0.75,Hard,2nd Round,WTA250_o_menor,93.0,1.0,1.0,0.23076923076923078,0.6875,0.0,0.5,0.9166666666666666,22,46,0,0,0
2428,2008-01-02,0.6626506024096386,0.3373493975903614,Hard,2nd Round,WTA250_o_menor,-24.0,1.0,1.0,0.6428571428571429,0.5714285714285714,1.0,0.8571428571428571,0.6923076923076923,64,55,1,0,0
2429,2008-01-02,0.3119266055045871,0.6880733944954128,Hard,2nd Round,WTA250_o_menor,8.0,0.0,1.0,0.48,0.6122448979591837,0.6666666666666666,0.35294117647058826,0.6521739130434783,43,70,0,0,0
2430,2008-01-02,0.8308157099697885,0.1691842900302115,Hard,2nd Round,WTA250_o_menor,-50.0,1.0,1.0,0.6521739130434783,0.47619047619047616,1.0,0.8461538461538461,0.16666666666666666,40,35,1,0,0
2431,2008-01-02,0.204946996466431,0.7950530035335689,Hard,2nd Round,WTA250_o_menor,129.0,1.0,1.0,0.4,0.6956521739130435,0.5,0.0,0.6666666666666666,5,37,0,1,0
2432,2008-01-02,0.8751458576429404,0.1248541423570595,Hard,2nd Round,WTA250_o_menor,-77.0,1.0,1.0,0.7352941176470589,0.25,0.5,0.8461538461538461,0.0,48,15,1,0,0
2433,2008-01-02,0.4864864864864864,0.5135135135135135,Hard,2nd Round,WTA250_o_menor,-15.0,1.0,1.0,0.6111111111111112,0.4782608695652174,0.0,0.5454545454545454,0.45454545454545453,37,35,0,0,0
2434,2008-01-03,0.4864864864864864,0.5135135135135135,Hard,Quarterfinals,WTA250_o_menor,2.0,1.0,1.0,0.673469387755102,0.6511627906976745,0.0,0.3333333333333333,0.3,64,65,1,0,0
2435,2008-01-03,0.25,0.75,Hard,Quarterfinals,WTA250_o_menor,21.0,1.0,1.0,0.5,0.696969696969697,0.0,0.3333333333333333,0.5,36,47,0,0,0
2436,2008-01-03,0.3119266055045871,0.6880733944954128,Hard,Quarterfinals,WTA250_o_menor,17.0,1.0,1.0,0.7083333333333334,0.7428571428571429,0.5,0.4,0.4,38,49,1,0,0
2437,2008-01-03,0.6626506024096386,0.3373493975903614,Hard,Quarterfinals,WTA250_o_menor,2.0,1.0,1.0,0.6666666666666666,0.62,0.5,0.7142857142857143,0.3333333333333333,41,71,0,0,0
2438,2008-01-04,0.4109947643979057,0.5890052356020942,Hard,Semifinals,WTA250_o_menor,13.0,1.0,1.0,0.72,0.6274509803921569,0.5,0.0,0.6666666666666666,39,72,1,0,0
2439,2008-01-04,0.5774278215223098,0.4225721784776903,Hard,Semifinals,WTA250_o_menor,-13.0,1.0,1.0,0.68,0.7058823529411765,0.5,0.3333333333333333,1.0,65,48,0,0,0
2440,2008-01-05,0.4623655913978494,0.5376344086021505,Hard,The Final,WTA250_o_menor,-1.0,1.0,1.0,0.7307692307692307,0.7142857142857143,0.5,0.4,0.0,40,49,1,0,0
2441,2008-01-06,0.5569368473396321,0.443063152660368,Hard,1st Round,WTA250_o_menor,-12.0,0.0,0.0,0.4090909090909091,0.48148148148148145,0.5,0.35,0.5217391304347826,34,41,0,0,0
2442,2008-01-06,0.6657800031294007,0.3342199968705993,Hard,1st Round,WTA250_o_menor,-13.0,0.5,0.5,0.4864864864864865,0.7272727272727273,0.5,0.6428571428571429,1.0,54,15,1,0,0
2443,2008-01-07,0.7322175732217574,0.2677824267782427,Hard,1st Round,WTA250_o_menor,-101.0,0.0,0.0,0.3888888888888889,0.0,0.5,0.47368421052631576,0.0,31,1,0,0,1
2444,2008-01-07,0.4414893617021276,0.5585106382978724,Hard,1st Round,WTA250_o_menor,10.0,0.5,0.0,0.5517241379310345,0.6206896551724138,0.5,0.5,0.7894736842105263,56,44,1,0,0
2445,2008-01-07,0.5,0.5,Hard,1st Round,WTA250_o_menor,71.0,0.5,0.0,0.3333333333333333,0.25,0.5,0.5,0.38461538461538464,6,20,0,1,0
2446,2008-01-07,0.5376344086021505,0.4623655913978494,Hard,1st Round,WTA250_o_menor,2.0,0.0,0.0,0.44,0.47619047619047616,0.5,0.6956521739130435,0.6086956521739131,42,46,1,0,0
2447,2008-01-07,0.25,0.75,Hard,1st Round,WTA250_o_menor,41.0,0.0,0.0,0.16666666666666666,0.675,0.5,0.42857142857142855,0.75,37,49,0,0,0
2448,2008-01-07,0.645320197044335,0.354679802955665,Hard,1st Round,WTA250_o_menor,-17.0,0.5,0.0,0.4,0.47058823529411764,0.5,0.5,0.2857142857142857,22,23,1,0,0
2449,2008-01-07,0.354679802955665,0.645320197044335,Hard,1st Round,WTA250_o_menor,72.0,0.0,0.0,0.1111111111111111,0.2857142857142857,0.5,0.08333333333333333,0.4444444444444444,15,18,0,0,0
2450,2008-01-07,0.354679802955665,0.645320197044335,Hard,1st Round,WTA250_o_menor,14.0,0.0,0.0,0.5714285714285714,0.48148148148148145,0.5,0.7,0.6470588235294118,23,35,1,0,0
