modelo,parametros,accuracy_modelo,accuracy_casas,accuracy_ranking,correlacion_casas,AUC_modelo,AUC casas
Random Forest,"{'classifier': RandomForestClassifier(), 'classifier__max_depth': 5, 'classifier__n_estimators': 200}",0.6351,0.685,0.6272,,0.7043,0.757
XGBoost2,"{'classifier__colsample_bytree': 0.8, 'classifier__learning_rate': 0.05, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.6482,0.685,0.6272,,0.7102,0.757
